code	province	district	neighborhood
1162074500	서울특별시	관악구	삼성동
1162076500	서울특별시	관악구	미성동
1162077500	서울특별시	관악구	난곡동
1165051000	서울특별시	서초구	서초1동
1165052000	서울특별시	서초구	서초2동
1165053000	서울특별시	서초구	서초3동
1165053100	서울특별시	서초구	서초4동
1165054000	서울특별시	서초구	잠원동
1165055000	서울특별시	서초구	반포본동
1165056000	서울특별시	서초구	반포1동
1165057000	서울특별시	서초구	반포2동
1165058000	서울특별시	서초구	반포3동
1165058100	서울특별시	서초구	반포4동
1165059000	서울특별시	서초구	방배본동
1165060000	서울특별시	서초구	방배1동
1165061000	서울특별시	서초구	방배2동
1165062000	서울특별시	서초구	방배3동
1165062100	서울특별시	서초구	방배4동
1165065100	서울특별시	서초구	양재1동
1165065200	서울특별시	서초구	양재2동
1165066000	서울특별시	서초구	내곡동
1168051000	서울특별시	강남구	신사동
1168052100	서울특별시	강남구	논현1동
1168053100	서울특별시	강남구	논현2동
1168054500	서울특별시	강남구	압구정동
1168056500	서울특별시	강남구	청담동
1168058000	서울특별시	강남구	삼성1동
1168059000	서울특별시	강남구	삼성2동
1168060000	서울특별시	강남구	대치1동
1168061000	서울특별시	강남구	대치2동
1168063000	서울특별시	강남구	대치4동
1168064000	서울특별시	강남구	역삼1동
1168065000	서울특별시	강남구	역삼2동
1168065500	서울특별시	강남구	도곡1동
1168065600	서울특별시	강남구	도곡2동
1168066000	서울특별시	강남구	개포1동
1168067000	서울특별시	강남구	개포2동
1168067500	서울특별시	강남구	개포3동
1168069000	서울특별시	강남구	개포4동
1168070000	서울특별시	강남구	세곡동
1168072000	서울특별시	강남구	일원본동
1168073000	서울특별시	강남구	일원1동
1168075000	서울특별시	강남구	수서동
1171051000	서울특별시	송파구	풍납1동
1171052000	서울특별시	송파구	풍납2동
1171053100	서울특별시	송파구	거여1동
1171053200	서울특별시	송파구	거여2동
1171054000	서울특별시	송파구	마천1동
1171055000	서울특별시	송파구	마천2동
1171056100	서울특별시	송파구	방이1동
1171056200	서울특별시	송파구	방이2동
1171056600	서울특별시	송파구	오륜동
1171057000	서울특별시	송파구	오금동
1171058000	서울특별시	송파구	송파1동
1171059000	서울특별시	송파구	송파2동
1171060000	서울특별시	송파구	석촌동
1171061000	서울특별시	송파구	삼전동
1171062000	서울특별시	송파구	가락본동
1171063100	서울특별시	송파구	가락1동
1171063200	서울특별시	송파구	가락2동
1171064100	서울특별시	송파구	문정1동
1171064200	서울특별시	송파구	문정2동
1171064600	서울특별시	송파구	장지동
1171064700	서울특별시	송파구	위례동
1171065000	서울특별시	송파구	잠실본동
1171067000	서울특별시	송파구	잠실2동
1171068000	서울특별시	송파구	잠실3동
1171069000	서울특별시	송파구	잠실4동
1171071000	서울특별시	송파구	잠실6동
1171072000	서울특별시	송파구	잠실7동
1174051500	서울특별시	강동구	강일동
1174052500	서울특별시	강동구	상일제1동
1174052600	서울특별시	강동구	상일제2동
1174053000	서울특별시	강동구	명일제1동
1174054000	서울특별시	강동구	명일제2동
1174055000	서울특별시	강동구	고덕제1동
1174056000	서울특별시	강동구	고덕제2동
1174057000	서울특별시	강동구	암사제1동
1174058000	서울특별시	강동구	암사제2동
1174059000	서울특별시	강동구	암사제3동
1174060000	서울특별시	강동구	천호제1동
1174061000	서울특별시	강동구	천호제2동
1174062000	서울특별시	강동구	천호제3동
1174064000	서울특별시	강동구	성내제1동
1174065000	서울특별시	강동구	성내제2동
1174066000	서울특별시	강동구	성내제3동
1174068500	서울특별시	강동구	길동
1174069000	서울특별시	강동구	둔촌제1동
1174070000	서울특별시	강동구	둔촌제2동
4111156000	경기도	수원시 장안구	파장동
4111156600	경기도	수원시 장안구	율천동
4111157100	경기도	수원시 장안구	정자1동
4111157200	경기도	수원시 장안구	정자2동
4111157300	경기도	수원시 장안구	정자3동
4111158000	경기도	수원시 장안구	영화동
4111159100	경기도	수원시 장안구	송죽동
4111159700	경기도	수원시 장안구	조원1동
4111159800	경기도	수원시 장안구	조원2동
4111160000	경기도	수원시 장안구	연무동
4111352000	경기도	수원시 권선구	세류1동
4111353000	경기도	수원시 권선구	세류2동
4111354000	경기도	수원시 권선구	세류3동
4111355000	경기도	수원시 권선구	평동
4111356000	경기도	수원시 권선구	서둔동
4111365000	경기도	수원시 권선구	구운동
4111366200	경기도	수원시 권선구	금곡동
4111366400	경기도	수원시 권선구	호매실동
4111367000	경기도	수원시 권선구	권선1동
4111368000	경기도	수원시 권선구	권선2동
4111369000	경기도	수원시 권선구	곡선동
4111370000	경기도	수원시 권선구	입북동
4111565000	경기도	수원시 팔달구	매교동
4111566000	경기도	수원시 팔달구	매산동
4111567000	경기도	수원시 팔달구	고등동
4111568000	경기도	수원시 팔달구	화서1동
4111569000	경기도	수원시 팔달구	화서2동
4111570000	경기도	수원시 팔달구	지동
4111571000	경기도	수원시 팔달구	우만1동
4111572000	경기도	수원시 팔달구	우만2동
4111573000	경기도	수원시 팔달구	인계동
4111574000	경기도	수원시 팔달구	행궁동
4111751000	경기도	수원시 영통구	매탄1동
4111752000	경기도	수원시 영통구	매탄2동
4111753000	경기도	수원시 영통구	매탄3동
4111754000	경기도	수원시 영통구	매탄4동
4111755000	경기도	수원시 영통구	원천동
4111757000	경기도	수원시 영통구	영통1동
4111758000	경기도	수원시 영통구	영통2동
4111758500	경기도	수원시 영통구	영통3동
4111759300	경기도	수원시 영통구	망포1동
4111759600	경기도	수원시 영통구	망포2동
4111760000	경기도	수원시 영통구	광교1동
4111761000	경기도	수원시 영통구	광교2동
4113151000	경기도	성남시 수정구	신흥1동
4113152000	경기도	성남시 수정구	신흥2동
4113153000	경기도	성남시 수정구	신흥3동
4113154000	경기도	성남시 수정구	태평1동
4113155000	경기도	성남시 수정구	태평2동
4113156000	경기도	성남시 수정구	태평3동
4113156100	경기도	성남시 수정구	태평4동
4113157000	경기도	성남시 수정구	수진1동
4113158000	경기도	성남시 수정구	수진2동
4113159000	경기도	성남시 수정구	단대동
4113160000	경기도	성남시 수정구	산성동
4113161000	경기도	성남시 수정구	양지동
4113162000	경기도	성남시 수정구	복정동
4113162500	경기도	성남시 수정구	위례동
4113163000	경기도	성남시 수정구	신촌동
4113164000	경기도	성남시 수정구	고등동
4113165000	경기도	성남시 수정구	시흥동
4113351000	경기도	성남시 중원구	성남동
4113352500	경기도	성남시 중원구	중앙동
4113353000	경기도	성남시 중원구	금광1동
4113354000	경기도	성남시 중원구	금광2동
4113355000	경기도	성남시 중원구	은행1동
4113356000	경기도	성남시 중원구	은행2동
4113357000	경기도	성남시 중원구	상대원1동
4113358000	경기도	성남시 중원구	상대원2동
4113359000	경기도	성남시 중원구	상대원3동
4113366000	경기도	성남시 중원구	하대원동
4113367000	경기도	성남시 중원구	도촌동
4113551000	경기도	성남시 분당구	분당동
4113552000	경기도	성남시 분당구	수내1동
4113553000	경기도	성남시 분당구	수내2동
4113554000	경기도	성남시 분당구	수내3동
4113554500	경기도	성남시 분당구	정자동
4113555000	경기도	성남시 분당구	정자1동
4113556000	경기도	성남시 분당구	정자2동
4113557000	경기도	성남시 분당구	정자3동
4113558000	경기도	성남시 분당구	서현1동
4113559000	경기도	성남시 분당구	서현2동
4113560000	경기도	성남시 분당구	이매1동
4113561000	경기도	성남시 분당구	이매2동
4113562000	경기도	성남시 분당구	야탑1동
4113563000	경기도	성남시 분당구	야탑2동
4113564000	경기도	성남시 분당구	야탑3동
4113565000	경기도	성남시 분당구	판교동
4113565500	경기도	성남시 분당구	삼평동
4113565700	경기도	성남시 분당구	백현동
4113566200	경기도	성남시 분당구	금곡동
4113566500	경기도	성남시 분당구	구미1동
4113567000	경기도	성남시 분당구	구미동
4113568000	경기도	성남시 분당구	운중동
4115051000	경기도	의정부시	의정부1동
4115052000	경기도	의정부시	의정부2동
4115054500	경기도	의정부시	호원1동
4115055500	경기도	의정부시	호원2동
4115056100	경기도	의정부시	장암동
4115056700	경기도	의정부시	신곡1동
4115056800	경기도	의정부시	신곡2동
4115057300	경기도	의정부시	송산1동
4115057600	경기도	의정부시	송산2동
4115057800	경기도	의정부시	송산3동
4115058000	경기도	의정부시	자금동
4115059500	경기도	의정부시	가능동
4115061500	경기도	의정부시	흥선동
4115062000	경기도	의정부시	녹양동
4117151000	경기도	안양시 만안구	안양1동
4117152000	경기도	안양시 만안구	안양2동
4117153000	경기도	안양시 만안구	안양3동
4117154000	경기도	안양시 만안구	안양4동
4117155000	경기도	안양시 만안구	안양5동
4117156000	경기도	안양시 만안구	안양6동
4117157000	경기도	안양시 만안구	안양7동
4117158000	경기도	안양시 만안구	안양8동
4117158100	경기도	안양시 만안구	안양9동
4117159000	경기도	안양시 만안구	석수1동
4117160000	경기도	안양시 만안구	석수2동
4117161000	경기도	안양시 만안구	석수3동
4117162100	경기도	안양시 만안구	박달1동
4117163000	경기도	안양시 만안구	박달2동
4117351000	경기도	안양시 동안구	비산1동
4117352000	경기도	안양시 동안구	비산2동
4117353000	경기도	안양시 동안구	비산3동
4117354000	경기도	안양시 동안구	부흥동
4117354600	경기도	안양시 동안구	달안동
4117355000	경기도	안양시 동안구	관양1동
4117356000	경기도	안양시 동안구	관양2동
4117356600	경기도	안양시 동안구	부림동
4117357000	경기도	안양시 동안구	평촌동
4117357600	경기도	안양시 동안구	평안동
4117357800	경기도	안양시 동안구	귀인동
4117358000	경기도	안양시 동안구	호계1동
4117359000	경기도	안양시 동안구	호계2동
4117360000	경기도	안양시 동안구	호계3동
4117361000	경기도	안양시 동안구	범계동
4117362000	경기도	안양시 동안구	신촌동
4117363000	경기도	안양시 동안구	갈산동
4119060300	경기도	부천시	심곡동
4119060600	경기도	부천시	부천동
4119061000	경기도	부천시	중동
4119074200	경기도	부천시	신중동
4119074400	경기도	부천시	상동
4119074600	경기도	부천시	대산동
4119075000	경기도	부천시	소사본동
4119079500	경기도	부천시	범안동
4119080000	경기도	부천시	성곡동
4119083000	경기도	부천시	오정동
4121051000	경기도	광명시	광명1동
4121052000	경기도	광명시	광명2동
4121054000	경기도	광명시	광명3동
4121055000	경기도	광명시	광명4동
4121056000	경기도	광명시	광명5동
4121057000	경기도	광명시	광명6동
4121058000	경기도	광명시	광명7동
4121059000	경기도	광명시	철산1동
4121060000	경기도	광명시	철산2동
4121061000	경기도	광명시	철산3동
4121062000	경기도	광명시	철산4동
4121063100	경기도	광명시	하안1동
